name	taxonomy_id	taxonomy_lv	D_AM2	D_AM3	D_AM4	D_AM5	D_AM6	D_AM7	D_AM8	D_AM9	D_AM10	D_AM11	D_AM12	D_AM13	D_AM14	D_AM15	D_AM16	D_AM17	D_AM18	D_AM19	D_AM20	D_AM21	D_AM22	D_AM23	D_AM24	D_AM25	D_AM26	D_AM27	D_AM28	D_AM29	D_AM32	D_AM34	D_AM36	D_AM37	D_AM38	D_AM39	D_AM40	D_AM41	D_AM42	D_AM43	D_AM44	D_AM45	D_AM46	D_AM47	D_AM48	D_TT76	D_TT88	H_BP1	H_BP3	H_BP4	H_BP5	H_BP6	H_BP7	H_TT1	H_TT2	H_TT3	H_TT4	H_TT5	H_TT7	H_TT8	H_TT9	H_TT10	H_TT11	H_TT12	H_TT15	H_TT16	H_TT17	H_TT18	H_TT21	H_TT20	H_TT23	H_TT24	H_TT28	H_TT29	H_TT41	H_TT51	H_TT52	H_TT54	H_TT55	H_TT56	H_TT59	H_TT60	H_TT62	H_TT65	H_TT69	H_TT71	H_TT74	H_TT81
Rothia aeria	172042	S	26	132	67	66	55	17	108	167	236	40	22	22	21	212	38	546	60	14	51	119	6	102	17	28	12	19	472	138	54	54	181	78	337	139	284	1138	51	30	58	142	11	11	35	74	44	24	43	108	97	368	433	154	141	23	197	71	0	0	9	16	30	257	31	587	1085	0	53	61	48	327	232	24	11	9	11	19	24	286	22	33	920	556	302	66	52	207
Arthrobacter agilis	37921	S	8	60	7	0	0	0	115	15	52	0	0	0	0	1208	5	50	0	12	28	0	0	57	0	0	0	0	14	0	0	10	136	74	179	0	84	74	0	10	12	13	0	0	0	0	0	0	0	0	0	102	21	0	0	0	2385	0	0	7	0	0	7	0	0	50	61	0	0	0	452	163	0	0	0	0	0	0	0	0	0	0	0	115	11	42	27	0
Glutamicibacter protophormiae	37930	S	70	67	0	0	0	0	0	0	0	0	0	0	0	0	0	387	0	43	0	0	67	0	0	0	0	0	0	0	0	42	211	0	184	0	0	1315	0	0	0	49	0	0	0	0	0	0	29	0	0	61	0	0	0	0	73	0	0	0	0	0	0	0	0	316	74	0	0	0	89	0	0	0	0	0	0	0	0	146	83	0	667	68	0	0	0	104
Kytococcus sedentarius	1276	S	866	129	0	73	26	12	36	30	13	0	0	9	23	155	0	39	22	31	217	75	0	51	15	29	0	0	0	13	15	0	148	12	51	13	52	248	20	0	23	0	6	7	35	14	25	10	356	1548	58	25	91	22	310	0	30	0	0	0	230	57	16	238	0	49	96	0	0	16	21	57	126	17	0	0	0	6	0	34	30	0	139	51	70	16	33	41
Microbacterium foliorum	104336	S	41	524	18	107	91	9	170	136	61	0	0	0	0	0	0	0	0	0	63	0	0	0	0	0	0	0	0	0	0	0	0	26	32	0	35	94	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	28	0	0	68	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	198	0	87	0	0	0
Clavibacter phaseoli	1734031	S	63	519	108	143	182	18	561	671	116	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Curtobacterium flaccumfaciens	2035	S	94	75	26	95	0	16	52	24	20	66	0	0	0	745	41	48	87	0	148	0	741	133	0	0	0	0	139	0	73	25	440	3595	1874	0	511	208	42	58	125	23	105	0	1849	67	161	150	0	1186	341	216	909	718	4097	70	125	33	18	1597	296	0	3585	72	26	72	40	0	0	0	0	73	0	0	1250	1369	1481	1521	1048	586	0	0	561	63	272	0	705	156
Pseudoclavibacter sp. Marseille-Q3772	2866588	S	26	8	25	0	0	0	34	78	44	55	64	18	0	71	0	0	17	10	43	255	9	0	0	0	12	17	14	17	0	8	42	0	68	0	0	0	321	0	8	26	8	0	8	0	0	0	0	8	12	105	0	19	8	29	31	97	0	0	16	31	58	86	0	14	0	0	0	0	0	8	0	0	0	0	0	0	0	85	0	0	60	0	9	0	0	0
Brevibacterium sp. CS2	2575923	S	143	3411	224	1060	1037	166	1874	2449	877	25	60	0	0	84	97	180	31	9	245	72	57	166	0	0	12	10	27	21	112	22	110	0	216	16	85	1806	24	34	31	42	17	0	67	0	22	45	21	15	12	146	32	120	52	19	118	0	25	0	189	0	9	318	8	107	148	0	33	0	71	120	2119	9	0	0	0	0	17	334	51	11	568	201	93	103	24	20
Brevibacterium luteolum	199591	S	19	35	7	38	31	0	57	499	12	0	0	0	0	0	10	0	0	0	17	0	0	23	0	0	0	0	13	0	0	0	13	0	16	0	9	178	10	0	0	0	0	0	0	18	0	0	0	21	8	0	0	11	7	0	52	43	0	0	275	0	0	18	0	42	32	0	0	0	0	0	0	33	0	0	0	0	0	105	90	0	91	126	0	156	7	0
Brachybacterium sp. GU-2	3069708	S	94	539	155	390	170	38	427	394	271	0	0	0	0	1272	314	99	30	0	569	0	21	171	10	0	0	14	75	51	29	33	128	961	570	31	72	4158	80	53	0	169	40	0	72	0	13	96	165	167	14	343	134	212	43	0	105	9	20	0	268	120	0	104	0	232	168	0	33	0	144	47	73	11	0	17	9	0	0	108	84	0	1675	424	751	108	32	47
Dermabacter jinjuensis	1667168	S	28	226	0	0	61	0	0	48	29	48	0	0	0	15	11	0	0	0	0	21	0	0	0	0	0	0	0	0	0	0	0	191	237	0	54	0	0	0	0	0	0	0	0	0	0	0	2921	0	79	26	181	0	0	0	42	0	0	865	0	27	0	4156	329	2224	57	0	0	28	0	0	0	46	0	0	131	0	0	30	4658	0	577	0	29	332	0	15
Janibacter sp. CX7	2963431	S	29	222	43	35	23	10	112	54	34	33	112	0	0	19	50	0	85	0	270	0	0	0	23	0	0	0	33	33	0	17	19	32	115	0	0	0	34	22	0	108	0	18	0	0	0	0	40	0	0	290	34	0	33	0	55	0	8	0	0	0	41	104	55	55	58	0	0	0	0	0	0	0	10	0	0	0	40	18	0	26	0	0	89	86	333	0
Janibacter sp. YB324	2761047	S	14	237	0	98	86	39	228	273	125	0	0	0	0	27	44	86	0	0	187	0	0	0	0	0	0	0	0	0	0	15	31	69	0	0	31	280	37	24	0	107	0	0	56	0	0	33	0	0	0	116	110	0	17	0	64	0	0	0	0	0	0	0	0	52	101	0	0	0	0	0	0	0	0	0	0	0	0	78	0	0	194	0	0	34	0	0
Janibacter indicus	857417	S	46	1349	149	434	616	57	544	655	236	0	0	0	0	133	119	26	0	22	263	120	0	0	0	0	0	0	0	59	0	0	28	0	0	0	66	0	35	26	0	116	0	0	17	0	18	0	87	97	0	469	10	0	14	0	179	0	14	0	0	12	0	0	0	400	342	0	0	0	0	45	0	0	18	0	0	0	0	56	49	0	659	0	82	138	147	42
Janibacter limosus	53458	S	11	130	221	72	35	9	13	86	64	0	19	0	0	15	65	17	0	13	162	0	0	118	20	0	10	0	0	29	20	0	33	4668	0	18	0	280	13	42	0	81	29	0	0	0	0	0	84	0	0	185	15	54	23	26	139	0	0	0	0	12	0	298	0	36	38	0	31	0	0	10	16	0	0	0	0	16	9	0	0	0	327	177	196	53	128	0
Dermacoccus sp. PAMC28757	2762331	S	27	375	33	123	234	20	132	316	147	0	0	0	0	0	13	25	0	0	32	0	13	0	0	0	0	0	11	0	0	0	17	13	96	0	7	0	0	0	0	22	0	0	0	0	0	17	20	0	0	0	51	9	438	0	45	0	0	0	0	0	0	0	0	88	0	0	0	0	10	0	0	77	0	0	0	0	0	0	0	0	245	0	17	0	10	0
Dermacoccus nishinomiyaensis	1274	S	14	129	55	104	330	22	484	290	83	0	36	0	0	17	0	20	20	56	13	0	14	0	0	0	0	0	13	0	16	177	0	14	41	11	61	50	0	16	0	6	14	0	10	12	13	118	63	0	0	91	71	24	31	0	53	17	53	0	16	0	0	0	0	20	87	0	42	0	10	53	59	0	12	0	0	0	0	43	0	0	204	0	19	54	15	0
Corynebacterium kroppenstedtii	161879	S	567	1268	200	501	772	541	767	585	1197	235	198	83	326	767	55	817	295	186	304	215	133	258	57	53	78	55	262	27	75	116	972	173	528	36	762	1496	63	37	129	123	127	44	215	90	463	25	252	169	212	369	722	298	669	74	915	278	148	104	183	16	113	216	125	6395	514	25	57	77	109	188	153	0	371	42	41	226	11	686	110	3224	9554	713	1302	667	253	286
Corynebacterium tuberculostearicum	38304	S	308	2138	269	1277	797	231	1805	993	1263	931	319	143	33	865	1058	659	521	264	4068	620	33	149	324	82	167	838	2895	155	441	648	492	106	2489	167	744	2117	365	180	126	451	122	23	263	83	129	564	2869	370	271	1563	9101	390	1078	268	1068	436	41	13579	1274	341	168	4259	20170	58063	1906	284	535	1614	93	349	355	309	69	129	3459	532	60	432	41994	43	7310	565	1453	5298	108	169
Corynebacterium afermentans	38286	S	133	394	69	564	525	54	403	408	219	186	58	68	21	41	420	78	156	165	871	350	5	34	0	10	86	202	726	22	32	196	239	0	174	37	163	420	522	30	0	45	14	11	79	0	46	34	0	28	57	103	442	36	88	27	649	186	25	5002	217	41	109	26	17	1272	114	0	19	36	0	0	60	0	0	46	0	30	0	223	0	0	29	73	48	71	30	17
Corynebacterium sp. FDAARGOS 1242	2778078	S	70	81	8	0	22	11	49	449	110	93	68	0	0	59	0	33	25	76	57	700	0	35	0	0	39	159	34	11	9	63	24	12	68	15	68	0	65	0	14	0	0	0	0	0	0	0	0	0	0	104	22	0	38	37	238	21	0	1181	0	53	18	353	31	335	32	0	9	159	13	31	0	66	0	0	201	20	0	13	3475	28	0	58	412	1784	6	14
Corynebacterium sp. Z-1	3074378	S	42	0	25	0	0	0	0	0	80	0	0	0	0	0	88	51	24	0	344	0	0	0	0	0	0	54	0	0	0	85	0	0	298	0	0	1046	147	0	0	122	0	0	42	0	0	78	50	0	0	1190	0	0	82	21	182	0	0	0	123	0	0	0	0	1210	171	0	0	0	0	0	114	32	0	0	0	0	0	89	0	0	1185	0	0	258	12	0
Corynebacterium sp. NML98-0116	702967	S	28	0	0	0	0	0	0	11	0	12	0	0	19	12	0	32	0	0	0	0	6	0	0	0	0	0	0	26	0	32	0	0	0	29	35	669	0	0	0	0	0	0	25	56	0	0	18	0	0	154	909	0	0	0	35	0	0	6739	0	0	0	35403	0	0	0	0	0	0	0	482	0	3038	0	0	0	1659	0	0	0	60	2397	0	179	3347	0	0
Corynebacterium kefirresidentii	1979527	S	172	291	21	101	82	192	144	115	139	82	17	0	0	197	27	64	17	0	255	0	0	35	69	0	6	89	114	11	43	393	120	12	186	54	198	1882	558	18	42	67	0	0	30	0	38	214	379	50	21	358	1001	0	180	0	316	32	0	0	633	0	46	106	15465	3837	313	33	0	888	0	170	109	0	0	56	72	44	16	31	7191	131	207	64	166	1370	6	0
Corynebacterium accolens	38284	S	97	664	45	240	626	91	286	385	102	70	102	29	0	1158	356	440	77	46	1666	108	11	486	34	12	24	32	411	116	55	544	269	275	4041	85	377	1703	698	97	74	838	21	8	213	23	132	381	324	665	127	1752	364	46	145	0	1414	115	225	2411	677	0	0	252	1658	2857	1294	121	94	740	6	76	827	20	208	125	30	0	8	111	380	423	4504	389	353	919	74	46
Corynebacterium matruchotii	43768	S	41	92	35	65	20	17	53	78	61	30	14	24	329	664	141	238	54	26	234	81	5	79	23	19	13	0	77	171	7	32	141	11	1321	17	260	770	79	80	83	92	22	9	85	55	55	22	66	1510	104	702	190	17	62	32	85	17	64	38	77	22	7	101	27	331	478	10	37	62	26	105	90	25	6	30	59	20	10	99	125	16	5499	253	125	147	19	133
Corynebacterium singulare	161899	S	44	78	12	40	64	10	43	47	47	609	228	197	20	68	0	59	485	518	86	684	0	6	14	39	307	212	55	18	6	178	70	0	0	0	15	252	0	0	0	0	11	0	13	0	0	0	18	12	39	14	17	0	64	254	611	469	25	65	0	542	171	33	31	252	32	0	0	11	0	11	35	0	0	0	0	11	0	10	86	0	28	67	37	203	0	0
Corynebacterium minutissimum	38301	S	54	122	17	19	92	13	58	106	85	103	78	27	7	48	10	61	29	78	84	225	0	8	0	12	28	100	79	10	17	65	46	0	0	0	33	0	278	0	8	0	0	0	0	0	0	44	0	0	0	96	0	8	14	38	95	70	0	157	0	98	20	17	0	133	137	0	26	117	0	0	125	29	0	0	309	0	0	13	712	0	108	0	344	1080	6	14
Corynebacterium simulans	146827	S	39	281	229	17	16	0	46	47	35	0	0	0	0	34	6	0	14	5	17	28	0	8	16	0	7	13	13	43	15	11	17	78	112	0	18	0	0	0	0	13	0	0	0	9	0	0	1507	11	0	37	5005	19	319	10	14	0	0	34	29	0	0	783	4849	101	31	3186	8856	908	5	323	49	0	0	0	463	0	0	17	50	0	642	0	865	1548	12	0
Corynebacterium ihumii	1232427	S	82	300	22	169	88	21	124	38	76	46	13	15	0	10	327	0	49	103	867	83	0	0	0	0	45	38	127	0	0	65	137	0	700	0	168	0	528	0	0	0	18	0	0	16	0	0	16	0	0	45	290	0	45	9	163	81	0	200	0	0	47	0	0	48	20	0	0	0	0	29	0	0	0	0	0	0	0	13	0	0	137	47	0	0	0	10
Corynebacterium jeikeium	38289	S	32	0	26	13	0	9	55	57	107	46	39	22	11	18	34	23	117	52	12	38	6	61	0	0	27	40	84	26	13	44	0	43	0	21	98	621	0	0	8	0	9	0	0	12	0	69	0	0	0	115	94	7	48	27	83	44	0	2268	0	24	15	459	13	1761	39	0	0	74	0	0	0	14	0	0	0	0	0	30	1026	0	166	0	36	806	10	0
Corynebacterium durum	61592	S	22	46	60	29	36	25	0	111	178	60	16	0	27	180	35	341	109	0	26	0	5	94	19	0	0	0	117	61	22	48	128	28	431	14	184	346	28	10	25	5	25	9	51	60	46	135	86	69	44	568	282	30	39	9	88	10	0	79	6	0	27	226	63	484	438	9	25	59	20	122	149	31	0	0	7	8	6	56	25	11	171	124	98	227	15	87
Corynebacterium genitalium	38288	S	24	58	0	0	43	12	78	7	31	49	21	11	21	22	19	39	79	51	27	24	0	17	0	13	51	189	59	19	34	9	9	13	26	14	26	377	124	0	17	0	0	0	24	0	0	9	11	0	19	58	43	10	0	36	79	44	53	582	21	25	21	37	11	3114	43	0	0	104	0	16	0	6	9	0	0	0	0	10	3378	0	41	0	19	27	0	0
